id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements
mp-22898,KI,3.8513,False,2155.894006460849,7.084871231449998,7.084871231449998,7.084871231449998,90.0,90.0,90.0,False,False,2
mp-22903,RbI,3.7765,False,2115.494680595158,7.382334730099113,7.382334730099113,7.382334730099113,90.0,90.0,90.0,False,False,2
mp-22909,ZnCl2,4.0533,False,1525.174395348783,5.595122849105167,5.595122849105167,9.883078141753684,90.0,90.0,90.0,False,False,2
mp-22916,NaBr,4.0895,False,1573.034658022245,5.923084507707753,5.923084507707753,5.923084507707753,90.0,90.0,90.0,False,False,2
mp-22922,AgCl,0.9522000000000002,False,9240.430354182648,5.545325993612285,5.545325993612285,5.545325993612285,90.0,90.0,90.0,False,False,2
mp-22925,AgI,1.3674,False,84443.93592516544,6.56419155646163,6.56419155646163,6.56419155646163,90.0,90.0,90.0,False,False,2
mp-22935,CsBrF,2.5062,False,12422.095680645332,4.309097403877068,4.309097403877068,19.945694311527124,90.0,90.0,90.0,False,False,3
mp-22936,Ca2NCl,2.371,False,34103.23371840593,3.657833017936005,3.657833017936005,19.726325322534635,90.0,90.0,120.0,False,False,3
mp-22939,BiClO,2.5681000000000003,False,6690.116967263639,3.8933967,3.8933967,7.49318875,90.0,90.0,90.0,False,False,3
mp-22946,CrClO,0.3688000000000002,False,151755.60955803722,3.19007562,3.86656054,7.952460439999999,90.0,90.0,90.0,False,False,3
mp-22951,BaIF,4.0263,False,2505.575626485272,4.70410576,4.70410576,8.00429698,90.0,90.0,90.0,False,False,3
mp-22956,K2PdCl4,1.4279000000000002,False,8985.79850533279,7.05764687,7.05764687,4.09634545,90.0,90.0,90.0,False,False,3
mp-22958,KBrO3,3.8569,False,2573.6817875025654,5.943277140641094,5.943277140641094,8.233972751427013,90.0,90.0,120.0,False,False,3
mp-22964,PbClF,3.5519,False,3999.819916453935,4.10916829,4.10916829,7.23904356,90.0,90.0,90.0,False,False,3
mp-22975,Rb2TeCl6,2.6398,False,13033.415709574489,10.285495828691756,10.285495828691756,10.285495828691756,90.0,90.0,90.0,False,False,3
mp-22981,TlIO3,2.7633,False,9251.419519823958,6.301585160929237,6.301585160929237,7.966300755780654,90.0,90.0,120.0,False,False,3
mp-22988,CsGeCl3,2.1535,False,55949.250895280165,7.693632781449086,7.693632781449086,9.534901600706087,90.0,90.0,120.0,False,False,3
mp-22990,CsICl2,2.2301,False,17065.467111331178,6.367449288211168,6.367449288211168,12.43758889793637,90.0,90.0,120.0,False,False,3
mp-23009,Ca2BrN,2.4254,False,32204.52280927021,3.70951140657784,3.70951140657784,20.588636193915946,90.0,90.0,120.0,False,False,3
mp-23033,Sr2NCl,1.9398000000000004,False,79794.45746886307,3.8930932745441136,3.8930932745441136,21.11645839446954,90.0,90.0,120.0,False,False,3
